"","Habitat","Reef","SurveyDate","H_bio","Hbrow","Hgd","Hscex","H_dens","totBio","totDens"
"1","Flat",9,2014-09-10,13.7224398303646,0.576680033298304,4.0982617592076,9.80924803785866,1.4872,20.0837252747514,1.9032
"2","Flat",9,2015-12-14,51.8805814170946,0.884555082328294,9.86485101623226,43.1895503185341,1.2312,57.2430625414795,1.3712
"3","Flat",9,2016-09-21,11.7166784952373,0,2.93002877619488,9.28027471904241,1.092,14.8123486468528,1.292
"4","Flat",10,2014-09-11,14.0197747211685,1.07775567513341,8.0092311931445,6.18678785289059,1.8352,18.5946045089707,2.0632
"5","Flat",10,2015-12-14,11.6833528745505,0.0214998861134571,5.54218638049926,7.92229160793778,0.54,17.929739942312,0.688
"6","Flat",10,2016-09-21,15.4719341505289,0.113095310087758,4.5220853112603,11.7703785291809,1.3,23.8069701001276,1.752
"7","Flat",12,2014-09-16,5.46311915179864,0,0.457142267546274,5.00597688425237,0.36,5.9390595019883,0.432
"8","Flat",12,2016-09-21,14.5077307828995,0,1.03743104249855,13.4702997404009,0.976,16.4736659596552,1.124
"9","Flat",14,2014-09-10,8.46169589742103,0.220856419616613,1.49835836236253,6.65542748811925,1.076,10.2618163985911,1.236
"10","Flat",14,2015-12-09,8.98618531790548,0,1.68483388757388,7.54667057804602,0.592,12.7974095066511,0.784
"11","Flat",14,2016-09-21,12.1044033389796,0,6.60803959791589,8.95368288877811,0.912,29.3079540974188,1.28
"12","Flat",15,2014-09-16,6.00283587509204,0.0400617263333716,1.25451282068605,5.38224449957011,0.468,8.01908945699128,0.576
"13","Flat",15,2015-12-09,5.39962928941157,0.0429997722269142,1.11240275536911,4.33763819402542,0.792,6.68439861486983,0.896
"14","Flat",15,2016-09-20,3.53871212702174,0.337567565492909,0.931589139844184,2.20749158639955,0.548,11.1613603501226,0.852
"15","Flat",16,2011-09-22,0,0,0,0,0,0.381458090478515,0.024
"16","Flat",16,2012-02-02,0,0,0,0,0,7.13573512961691,0.014
"17","Flat",16,2012-03-14,0,0,0,0,0,35.2600757398115,0.024
"18","Flat",16,2012-06-04,4.80127291267373,0,0.171092066865792,4.43423813946325,0.286,12.2347492185006,0.432
"19","Flat",16,2012-09-13,2.67614520753682,0,0.30653155154358,2.45138670523139,0.373333333333333,4.71536623208323,0.429333333333333
"20","Flat",16,2012-12-11,0,0,0,0,0,1.05163492940572,0.008
"21","Flat",16,2013-01-08,1.08954138566759,0,0.0477339167529354,0.902506048438688,0.2,2.14669204945481,0.266666666666667
"22","Flat",16,2013-03-05,3.12347456692811,0,0.169487071542203,2.93051816301193,0.253333333333333,4.37955864718112,0.298666666666667
"23","Flat",16,2013-05-31,1.11030255612609,0,0,0.847820283364548,0.162666666666667,2.67992511018568,0.242666666666667
"24","Flat",16,2013-09-11,0,0,0,0,0,0.237666083008407,0.0186666666666667
"25","Flat",16,2013-12-11,0.481674141103721,0,0.0417133316020014,0.366137670287536,0.176,1.631734096375,0.23
"26","Flat",16,2014-02-01,1.42524076240507,0,0.137259345522174,1.28664125355282,0.189333333333333,3.17555426138249,0.304
"27","Flat",16,2014-02-24,0,0,0,0,0,1.01800622904393,0.032
